Row Labels,Sum of sales_qty
1/5/2017,24
1/6/2017,2
1/7/2017,4
1/8/2017,5
1/9/2017,4
1/10/2017,4
1/11/2017,4
1/12/2017,7
1/13/2017,6
1/14/2017,10
1/15/2017,10
1/16/2017,7
1/17/2017,9
1/18/2017,19
1/19/2017,20
1/20/2017,22
1/21/2017,20
1/22/2017,10
1/23/2017,30
1/24/2017,21
1/25/2017,37
1/26/2017,41
1/27/2017,26
1/28/2017,24
1/29/2017,21
1/30/2017,27
1/31/2017,31
2/1/2017,30
2/2/2017,31
2/3/2017,28
2/4/2017,35
2/5/2017,28
2/6/2017,37
2/7/2017,59
2/8/2017,46
2/9/2017,41
2/10/2017,39
2/11/2017,17
2/12/2017,26
2/13/2017,45
2/14/2017,48
2/15/2017,29
2/16/2017,29
2/17/2017,22
2/18/2017,35
2/19/2017,20
2/20/2017,34
2/21/2017,24
2/22/2017,34
2/23/2017,32
2/24/2017,39
2/25/2017,23
2/26/2017,25
2/27/2017,22
2/28/2017,40
3/1/2017,47
3/2/2017,30
3/3/2017,41
3/4/2017,38
3/5/2017,34
3/6/2017,48
3/7/2017,41
3/8/2017,54
3/9/2017,61
3/10/2017,49
3/11/2017,48
3/12/2017,25
3/13/2017,43
3/14/2017,46
3/15/2017,59
3/16/2017,58
3/17/2017,33
3/18/2017,33
3/19/2017,24
3/20/2017,56
3/21/2017,50
3/22/2017,60
3/23/2017,50
3/24/2017,43
3/25/2017,33
3/26/2017,36
3/27/2017,46
3/28/2017,51
3/29/2017,35
3/30/2017,46
3/31/2017,39
4/1/2017,24
4/2/2017,38
4/3/2017,35
4/4/2017,48
4/5/2017,53
4/6/2017,50
4/7/2017,43
4/8/2017,34
4/9/2017,31
4/10/2017,38
4/11/2017,31
4/12/2017,31
4/13/2017,30
4/14/2017,26
4/15/2017,29
4/16/2017,15
4/17/2017,33
4/18/2017,38
4/19/2017,50
4/20/2017,84
4/21/2017,32
4/22/2017,38
4/23/2017,35
4/24/2017,53
